Review Date,Review Title,Username,Helpfulness,Helpful Votes,Total Votes,Rating,Review Text,Spoiler Warning
14 May 2021,Not bad. 1st part of a trilogy.,ThomDerd,"267 out of 301 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",267,301,6,"Great visuals, excellent fight scenes, good choices on most of the cast (e.g Kano, Scorpion, Sub-Zero) and just a fun movie overall. If you are familiar with the game, you will like it.Keep in mind that it's a trilogy, so this first film tries to add some background! Luckily there's not much time spent on meaningless conversations and the scenes get into the action parts faster than you would expect. Runtime of 1h 50min is works well; you will not be bored.Fight scenes get more rewarding halfway through, closer to the game style.Also, the idea to rotate this film's story around the rivalry between scorpion and sub-zero worked; it gave some background. Maybe the lead protagonist is not that interesting compared to the other characters but he seems necessary to keep the story moving forward.So, this first film does the job and although not everyone from the game is in it, I m sure all the other favorite characters will appear in the next 2 films and I m looking forward to that.6,5/10 good effort bringing the game on film screen.",
8 November 2021,I hoped for more,Leofwine_draca,"58 out of 74 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",58,74,5,"16 years after the last Hollywood version we get another MORTAL KOMBAT video game adaptation and funnily enough it's about the same quality as the last one. Grittier to begin with and Hiroyuki Sanada is one of those guys who automatically lifts the quality of the thing by his presence alone, but then it ends up turning into the usual CGI dominated cheese fest by the climax. They try to make sense of some kind of plot here which is quite excruciating but by the end it's just the usual intercutting of heavily stylised fights between the player characters. Kudos for the copious gore FX and the CGI isn't as bad as it could have been, but I was hoping for more.",Warning: Spoilers
22 April 2021,Pretty good overall but the lack of a tournament annoyed me.,alvarax,"393 out of 524 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",393,524,7,"I enjoyed MK overall, it was funny, action packed and generally quite faithful as an adaptation. The acting was also really good, with Joe Taslim as Subzero being the highlight for me. I was very disappointed however with the lack of an actual tournament, the fights were either ambush's or quick come and go brawls, there was no structure or rules, which I expected for the first mortal Kombat movie.I also didn't gravitate towards the newcomer Cole, I felt like he was unnecessary, I understand wanting to do your own thing sometimes but this was not one of those times. He also beats an iconic MK character which rubbed me the wrong way, but hopefully we'll see them again. The opening is brilliant and the second act is solid, but it's final act is very rushed and leaves you with little time to take it all in. Pretty good but not what I was hoping for.",Warning: Spoilers
18 April 2021,A valiant effort but exactly what you expect,cyrax-92742,"578 out of 746 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",578,746,7,"Great action and fight choreography as was to be expected from a movie with this title, special effects regarding characters and their abilities were also very well done especially considering the budget constraints this movie had. Storyline was predictable from the beginning and the writing itself isn't gonna win any awards, characters say their catchphrases from the games in key moments of the film, however, one big surprise for me was the character of Kano. He was the biggest and funniest comic relief character in the whole movie, constantly throwing jokes and insults at other characters. Probably one of the funniest, self aware movie characters I've seen in a long time.There are also weird editing jumps in the movie, one moment you're looking at characters interacting and in the next you're looking at something completely different. The movie suffers from a few of these, but given this is the directors first foray into the world of movie making, I'll take that L, most of the other important things were handled with care,If you know what you're getting and your expectations are right, this movie isn't gonna let you down with violence and gore, if you're expecting more then it's gonna be a letdown.",
30 April 2021,B-movie reboot,SnoopyStyle,"46 out of 62 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",46,62,6,"Earth is on the verge of annihilation. After nine victories by Outworld, they are one loss away from the Earth being conquered. Cole Young (Lewis Tan), Sonya Blade (Jessica McNamee), and Liu Kang (Ludi Lin) must defeat the warriors of ruthless Outworld Emperor Shang Tsung (Chin Han).This is a violent, hard-R reboot of the video game adaptation from the 90's. It has scraped off the cheese and speckled on some more action. The special effects are mostly up to date. It's very competent like the competent acting, action, and designs. The story is basic and set up to have more movies in the franchise. Josh Lawson is funny as Kano. The others are less charismatic. The missing ingredient is an A-list actor or an old action star doing a side role cameo. It's an old Hollywood trick but it works. It would give this the illusion of an A-list movie. As it stands, this is a well made B-movie and it's probably enough to continue as a B-movie franchise. Sadly, that road is usually downhill but maybe it could be a long ride.",
16 April 2021,Amazing for fans (but improvable). For the rest... probably less so.,educallejero,"300 out of 445 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",300,445,7,"The good: the story mostly works, the characterizations are insanely good (from costumes to personalities), and the movie is as gory and brutal as needed, actually way funnier than expected, and the CGI for the powers really great.The bad: the story is a bit messy, the characters motivations and reactions not always 100% natural and/or coherent, and the action and fights (with the exception of the ones with Scorpion) are fine, but the choreography and/or filming is kind of weak (easy to improve with a bigger budget and more talent on board).",
23 April 2021,Hell yea!,Calicodreamin,"192 out of 289 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",192,289,8,"I actually quite enjoyed watching this movie! The action was awesome, the jokes were actually funny, and the storyline was fairly well developed. The main characters were badass, and the CGI was stunningly good. I went in with no expectations and was rewarded with a good time. Finish them!",
24 April 2021,Not too bad...main character ruined it for me,patriciajohnson-22048,"534 out of 669 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",534,669,7,"I've seen the older movies of Mortal Kombat, and as cheesy and bad CGI as it was, the fights/tournaments, music, and plots were great. I was excited to see this new movie, and it wasn't that bad, but was still left unsatisfied. I was surprised that I fell in love with Kano; he was charming, hilarious, and prob the best character. Following him, I enjoyed SubZero and his fight scenes. Sonya Blade wasn't too bad too. One character that i had no interest in was the main guy, Cole. He was just boring and unnecessary. Even his ""power"" was....blah. I wish they had Liu Kang as the main guy, his story is more interesting. Another disappointment in this was the lack of tournaments in this movie, that was supposed to be the main plot of the whole movie. In addition, they did Goro dirty in this. His fight scene was short and missed the mark, and even though he was the big villain in the first movie, they showed him for less than 5 minutes in this one. Hopefully they bring him back somehow for a better fight in the 2nd movie. If they do, I'm excited to see my boy Johnny Cage!",Warning: Spoilers
4 October 2021,A bad movie by any measure,alanhowden-86367,"24 out of 30 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",24,30,3,"Even by the standards of films based on video games this is not good. I've played the games since MK2 so I know the franchise has a stupid story but since the film seems happy taking some big liberties with it it should have been made better, not worse (who TF is the main character anyway and why is his super power having an armoured shirt- there are 80 character on the MK roster there was no need to create Cole blandy Mcbland face).The historical intro of the film is actually not bad but after that the film's watchability dives off a cliff. I've already mentioned that the story is dumb so it's a cardinal sin that large parts of the movie are also boring. The acting (Apart from Scorpion/Sub Zero/Shang Tsung) is awful, nothing really connects, there is no reason to care about Cole or his boring family, everything is all of a sudden far too easy in the end and all that went before is pretty pointless. Even the fight scenes are not particularly good. I really did not like this.",Warning: Spoilers
23 April 2021,"2021 Special Effects, 1990 storyline",jota-b,"372 out of 489 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink",372,489,7,"I believe that I'm speaking for most fans when I say that I was expecting this to be loyal to the original storyline - a thought that the movie trailer ended right away. Instead we were presented with lots of deviations, and a sort of ""prequel"" that states a hope to build a cinematic universe around Mortal Kombat for the coming years, which don't get me wrong, is a very good thing. What I do think it's bad is the general acting - regarding some exceptions - along with character build up. Outworld characters appear to fall from the sky with little to no storyline attached to who they are and where they came from, when there was a lot to tell, especially about Shang Tsung, Mileena and Kabal. Actors playing Liu Kang, Kung Lao and particularly Raiden were close to average, along with their argument which was little to none. Kabal's voice was also not adequate to its figure. The guy's breathing through a metal mask and is stuck in an ""iron lung"" and sounds like a young wannabe highschool bully.Now the big elephant in the room, Cole Young. Adding a new character isn't that bad, but a new protagonist... that's an entire different thing. It's a very risky move, mostly because not only shatters the whole storyline, but also because a main character needs to be likeable to the general audience in order to stand. Personally, I found him closer to indifferent than good or bad, just kind of there. Fortunatly we can see that at the end, there's an intention to bring Johny Cage, who should already be present nonetheless along with Kitana (how can we have Mileena without Kitana?).Also there were some unecessary scenes, like Nitara (totally random choice by the way) literally appearing on screen just to die in the following second, following the footsteps of Rain in MK Anihalation. One way to get around that and other unsuited scene changes would be to increase the movie's lenght or simply not screening the character at all.On the upside, Kano's role is incredibly well performed and gives the movie its whole humour, bringing balance and a reality feeling to it. The fighting sequences are good, well shooted from a nice different set of angles, with a lot of movement variety. It's also noticeable they gave enourmous attention to Sub-Zero's special effects, which I think is one the best things in the movie along with some easter eggs like Shinnok's Amulet or Kitana's Fan. Goro's animation is also on a good note.Last but not least, the final standoff between Scorpion and Sub-Zero didn't let down. Very well shooted with an original choreography, and still managing to be loyal to some of the most iconic original moves from the game characters.To summarize, it's a generally well done remake. Although needing a lot of work, mostly on actor's performance and argument, has potential to set the foundations for an upcoming cinematic universe to be explored, which after all these years, MK absolutely deserves.",Warning: Spoilers
