Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
You Hurt My Feelings,"Comedy,Drama",6.6,2023,0,93.0,10515
The Nutcracker and the Four Realms,"Adventure,Family,Fantasy",5.6,2018,0,99.0,37148
Colette,"Biography,Drama,History",6.7,2018,0,111.0,26188
Bad Education,"Biography,Comedy,Crime",7.1,2019,0,108.0,43136
Pariyerum Perumal,Drama,8.7,2018,0,154.0,18210
The Tale,"Biography,Drama,Mystery",7.2,2018,0,114.0,19479
American Factory,Documentary,7.4,2019,0,110.0,23606
Ghosts of War,"Fantasy,Horror,Thriller",5.6,2020,0,94.0,11830
Handsome Devil,"Comedy,Drama,Sport",7.0,2016,0,95.0,16760
Priscilla,"Biography,Drama,Music",6.7,2023,0,113.0,22116
Mowgli: Legend of the Jungle,"Adventure,Drama,Fantasy",6.5,2018,0,104.0,65313
Goodbye Berlin,"Comedy,Drama,Family",6.9,2016,0,93.0,10898
Scary Stories to Tell in the Dark,"Adventure,Horror,Mystery",6.2,2019,0,108.0,84398
Billy Lynn's Long Halftime Walk,"Action,Drama,Sport",6.2,2016,0,113.0,23898
Southside with You,"Biography,Drama,History",6.3,2016,0,84.0,10097
Haunted Mansion,"Comedy,Drama,Family",6.0,2023,0,123.0,40744
Two Is a Family,"Comedy,Drama",7.3,2016,0,118.0,28400
The Girl in the Spider's Web,"Action,Adventure,Crime",6.1,2018,0,115.0,51283
Mr. Church,"Comedy,Drama",7.6,2016,0,104.0,30988
Jiu Jitsu,"Action,Sci-Fi,Thriller",2.9,2020,0,102.0,10124
Rustom,"Crime,Drama,Thriller",7.0,2016,0,148.0,28315
Hubie Halloween,"Comedy,Horror,Mystery",5.2,2020,0,103.0,57918
Moonfall,"Action,Adventure,Sci-Fi",5.1,2022,0,130.0,97070
Gaslight,"Crime,Horror,Mystery",5.9,2023,0,111.0,24879
Outlaw King,"Action,Biography,Drama",6.9,2018,0,121.0,79867
The Hating Game,"Comedy,Romance",6.2,2021,0,102.0,25140
Two Lottery Tickets,Comedy,7.5,2016,0,86.0,11918
The Perfect Date,"Comedy,Romance",5.8,2019,0,89.0,42618
Survive the Night,"Action,Drama,Thriller",4.0,2020,0,90.0,11908
Little Monsters,"Comedy,Horror,Sci-Fi",6.3,2019,0,93.0,19038
Gotti,"Biography,Crime,Drama",4.8,2018,0,112.0,16911
Ghost in the Shell,"Action,Crime,Drama",6.3,2017,0,107.0,226255
Dobaaraa,"Drama,Fantasy,Mystery",4.8,2022,0,132.0,20838
On the Basis of Sex,"Biography,Drama",7.1,2018,0,120.0,37818
Adverse,"Crime,Thriller",4.3,2020,0,94.0,16179
Memory,"Action,Crime,Thriller",5.7,2022,0,114.0,34197
I Am the Pretty Thing That Lives in the House,"Drama,Horror,Mystery",4.6,2016,0,89.0,15773
Earthquake Bird,"Crime,Drama,Mystery",6.0,2019,0,107.0,15689
The Exception,"Drama,Romance,War",6.8,2016,0,107.0,15144
Hustlers,"Comedy,Crime,Drama",6.3,2019,0,110.0,106698
Life in a Year,"Drama,Romance",6.2,2020,0,107.0,10493
Nine Days,"Drama,Fantasy",6.8,2020,0,124.0,11363
Willy's Wonderland,"Action,Comedy,Horror",5.5,2021,0,88.0,37619
Toc Toc,Comedy,6.8,2017,0,90.0,21327
I.T.,"Crime,Drama,Mystery",5.5,2016,0,95.0,16849
Missing,"Drama,Mystery,Thriller",7.1,2023,0,111.0,56523
Work It,"Comedy,Music",6.2,2020,0,93.0,15399
Pleasure,Drama,6.4,2021,0,109.0,21810
Madaari,"Drama,Thriller",7.6,2016,0,133.0,14900
Hacker,"Crime,Drama,Thriller",6.1,2016,0,95.0,11134
