Movie Name,Genre,Rating,Release Date,isAdult,Runtime Minutes,numVotes
Mortal Kombat,"Action,Adventure,Fantasy",6.0,2021,0,110.0,188147
Wazir,"Action,Crime,Drama",7.1,2016,0,103.0,19816
Fahrenheit 451,"Drama,Sci-Fi,Thriller",5.0,2018,0,100.0,22392
American Pastoral,"Crime,Drama,Mystery",6.1,2016,0,108.0,17946
Motherless Brooklyn,"Crime,Drama,Mystery",6.8,2019,0,144.0,62334
Alita: Battle Angel,"Action,Adventure,Sci-Fi",7.3,2019,0,122.0,290565
The Flash,"Action,Adventure,Fantasy",6.7,2023,0,144.0,201276
Danger Close,"Action,Drama,War",6.8,2019,0,118.0,14990
Shazam!,"Action,Adventure,Comedy",7.0,2019,0,132.0,380869
Wonder Woman,"Action,Adventure,Fantasy",7.3,2017,0,141.0,694150
The Only Living Boy in New York,Drama,6.3,2017,0,89.0,17068
"Hail, Caesar!","Comedy,Drama,Mystery",6.3,2016,0,106.0,142205
Silence,"Drama,History",7.2,2016,0,161.0,121613
Suburbicon,"Comedy,Crime,Drama",5.8,2017,0,105.0,46933
Tulip Fever,"Drama,History,Romance",6.2,2017,0,105.0,22718
CHIPS,"Action,Comedy,Crime",6.0,2017,0,100.0,50449
Rings,"Drama,Horror,Mystery",4.5,2017,0,102.0,42888
Without Remorse,"Action,Thriller,War",5.8,2021,0,109.0,63832
Cell,"Action,Adventure,Horror",4.4,2016,0,98.0,30280
The Last Full Measure,"Drama,War",6.8,2019,0,116.0,13878
The Dirt,"Biography,Comedy,Drama",7.0,2019,0,107.0,54584
Warcraft,"Action,Adventure,Fantasy",6.7,2016,0,123.0,276592
The Witches,"Adventure,Comedy,Family",5.4,2020,0,106.0,46054
Pet Sematary,"Horror,Mystery,Thriller",5.7,2019,0,100.0,97773
Super Troopers 2,"Comedy,Crime,Mystery",6.0,2018,0,100.0,28173
Jungle Cruise,"Action,Adventure,Comedy",6.6,2021,0,127.0,210126
Hellraiser,"Horror,Mystery,Thriller",5.9,2022,0,121.0,47799
The Legend of Tarzan,"Action,Adventure,Drama",6.2,2016,0,110.0,187063
Justice League,"Action,Adventure,Fantasy",6.1,2017,0,120.0,475542
Fantasy Island,"Fantasy,Horror,Mystery",4.9,2020,0,109.0,57213
Army of the Dead,"Action,Crime,Drama",5.8,2021,0,148.0,185784
Pele: Birth of a Legend,"Biography,Drama,Sport",7.1,2016,0,107.0,20781
The Rental,"Drama,Horror,Mystery",5.7,2020,0,88.0,37424
The Last Voyage of the Demeter,"Fantasy,Horror",6.1,2023,0,118.0,42401
The Little Things,"Crime,Drama,Mystery",6.3,2021,0,128.0,122057
Clean,"Action,Crime,Drama",5.6,2021,0,94.0,10928
Love Aaj Kal,"Drama,Romance",4.7,2020,0,142.0,10409
The Humans,Drama,6.1,2021,0,108.0,10562
Laal Singh Chaddha,"Comedy,Drama,Romance",5.6,2022,0,159.0,177594
Countdown,"Horror,Thriller",5.4,2019,0,90.0,44562
Unhinged,"Action,Thriller",6.0,2020,0,90.0,75792
The Knight Before Christmas,"Adventure,Comedy,Drama",5.6,2019,0,92.0,20250
Bhuj: The Pride of India,"Action,Drama,History",4.2,2021,0,113.0,24891
Antebellum,"Drama,Horror,Mystery",5.8,2020,0,105.0,29477
Gangubai Kathiawadi,"Biography,Crime,Drama",7.8,2022,0,152.0,61187
Bhoot Police,"Comedy,Horror",6.9,2021,0,129.0,27292
The Tragedy of Macbeth,"Drama,Mystery,Thriller",7.1,2021,0,105.0,38998
Roohi,"Comedy,Horror",4.3,2021,0,134.0,10804
Jesus Revolution,Drama,7.1,2023,0,120.0,13120
Thunder Force,"Action,Adventure,Comedy",4.5,2021,0,106.0,45117
Shut In,Thriller,5.8,2022,0,89.0,10700
Shazam! Fury of the Gods,"Action,Adventure,Comedy",6.0,2023,0,130.0,121030
Thalaivi,"Biography,Drama",5.9,2021,0,153.0,31243
Cinderella,"Comedy,Family,Fantasy",4.4,2021,0,112.0,45981
The Nun II,"Horror,Mystery,Thriller",5.6,2023,0,110.0,54889
All Quiet on the Western Front,"Action,Drama,War",7.8,2022,0,148.0,237890
The Prom,"Comedy,Drama,Musical",5.9,2020,0,130.0,29015
Bones and All,"Drama,Horror,Romance",6.8,2022,0,131.0,55414
"Red, White & Royal Blue","Comedy,Romance",7.0,2023,0,118.0,45408
Dangerous Lies,"Crime,Mystery,Thriller",5.3,2020,0,96.0,18472
A Boy Called Christmas,"Adventure,Drama,Family",6.7,2021,0,106.0,27092
Soorarai Pottru,"Action,Drama",8.7,2020,0,153.0,123287
Causeway,Drama,6.6,2022,0,94.0,22112
Atlantics,"Drama,Fantasy,Mystery",6.7,2019,0,106.0,10384
Les Misérables,"Crime,Drama,Thriller",7.6,2019,0,104.0,27922
Beanpole,"Drama,War",7.2,2019,0,130.0,12135
